Nome Parlamentar;Representação;Partido;Uf;Telefone;Correio Eletrônico;Endereço Liderança;Endereço Gabinete
Adolfo Viana;Federação PSDB CIDADANIA;PSDB;BA;3215-5911;dep.adolfoviana@camara.leg.br;Edifício Principal, ala B, térreo, sala 15;Anexo 4, gabinete 911
Antonio Brito;PSD;PSD;BA;3215-5985;dep.antoniobrito@camara.leg.br;Anexo II, piso superior, espaço do servidor;Anexo 3, gabinete 985
Aureo Ribeiro;SOLIDARIEDADE;SOLIDARIEDADE;RJ;3215-5212;dep.aureoribeiro@camara.leg.br;Anexo II, ala B, sala 178;Anexo 4, gabinete 212
Doutor Luizinho;PP;PP;RJ;3215-5577;dep.doutorluizinho@camara.leg.br;Edifício Principal, piso superior, ala B, sala 11;Anexo 3, gabinete 577
Fred Costa;PRD;PRD;MG;3215-5633;dep.fredcosta@camara.leg.br;Anexo IV, subsolo, sala 50;Anexo 4, gabinete 633
Gilberto Abramo;REPUBLICANOS;REPUBLICANOS;MG;3215-5601;dep.gilbertoabramo@camara.leg.br;Anexo IV, subsolo, sala 18;Anexo 4, gabinete 601
Isnaldo Bulhões Jr.;MDB;MDB;AL;3215-5639;dep.isnaldobulhoesjr@camara.leg.br;Edifício Principal, piso superior, ala B, sala 03;Anexo 4, gabinete 639
Lindbergh Farias;Federação Brasil da Esperança - Fe Brasil	;PT;RJ;3215-5227;dep.lindberghfarias@camara.leg.br;Edifício Principal, térreo, ala B, sala 23;Anexo 4, gabinete 227
Luis Tibé;Bloco AVANTE, SOLIDARIEDADE, PRD;AVANTE;MG;3215-5632;dep.luistibe@camara.leg.br;Anexo IV, subsolo, sala 70;Anexo 4, gabinete 632
Marcel van Hattem;NOVO;NOVO;RS;3215-5958;dep.marcelvanhattem@camara.leg.br;Anexo IV, subsolo, sala 35;Anexo 4, gabinete 958
Mário Heringer;PDT;PDT;MG;3215-5211;dep.marioheringer@camara.leg.br;Edifício Principal, ala E, sala 12;Anexo 4, gabinete 211
Neto Carletto;AVANTE;AVANTE;BA;3215-5262;dep.netocarletto@camara.leg.br;Anexo IV, subsolo, sala 70;Anexo 4, gabinete 262
Pedro Campos;PSB;PSB;PE;3215-5846;dep.pedrocampos@camara.leg.br;Anexo II, piso superior, salas 114 a 118;Anexo 4, gabinete 846
Pedro Lucas Fernandes;UNIÃO;UNIÃO;MA;3215-5814;dep.pedrolucasfernandes@camara.leg.br;Ed. Principal, sala 116 e Anexo II, A, sala 111;Anexo 4, gabinete 814
Rodrigo Gambale;PODE;PODE;SP;3215-5939;dep.rodrigogambale@camara.leg.br;Anexo IV, subsolo, sala 76;Anexo 4, gabinete 939
Sóstenes Cavalcante;PL;PL;RJ;3215-5560;dep.sostenescavalcante@camara.leg.br;Anexo II, sala 122, ala das lideranças;Anexo 4, gabinete 560
Talíria Petrone;Federação PSOL REDE	;PSOL;RJ;3215-5193;dep.taliriapetrone@camara.leg.br;Anexo II, piso superior ala C, sala 116;Anexo 3, gabinete 193
José Guimarães;Governo na Câmara;PT;CE;3215-5306;dep.joseguimaraes@camara.leg.br;Anexo II, sala 107, corredor da Taquigrafia;Anexo 4, gabinete 306
Arlindo Chinaglia;Maioria na Câmara;PT;SP;3215-5966;dep.arlindochinaglia@camara.leg.br;Anexo II, ala A, piso superior, sala 122;Ed. Principal, gabinete 4
Caroline de Toni;Minoria na Câmara;PL;SC;3215-5772;dep.carolinedetoni@camara.leg.br;Anexo II, ala B, sala 125;Anexo 3, gabinete 773
Zucco;Oposição na Câmara;PL;RS;3215-5962;dep.zucco@camara.leg.br;Anexo II, piso superior, espaço do servidor;Anexo 4, gabinete 906
